ClientID,ClientName,ClientSegment,ClientTier,YearsAsClient
1,Client_001,Commercial,C,5
2,Client_002,Residential,C,6
3,Client_003,Residential,B,6
4,Client_004,Government,C,2
5,Client_005,Industrial,A,1
6,Client_006,Government,B,1
7,Client_007,Residential,B,9
8,Client_008,Commercial,C,2
9,Client_009,Residential,A,8
10,Client_010,Industrial,A,6
11,Client_011,Industrial,C,10
12,Client_012,Residential,B,10
13,Client_013,Industrial,C,1
14,Client_014,Commercial,A,1
15,Client_015,Residential,C,6
16,Client_016,Government,A,10
17,Client_017,Commercial,C,1
18,Client_018,Commercial,C,6
19,Client_019,Commercial,B,10
20,Client_020,Residential,A,9
